"Cause Name","total_attention_score","measure_id","measure_name","location_id","location_name","sex_id","sex_name","age_id","age_name","cause_id","metric_id","metric_name","year","DALY","upper","lower"
"Acute hepatitis B",0,2,"DALYs (Disability-Adjusted Life Years)",4,"Southeast Asia, East Asia, and Oceania",3,"Both",22,"All ages",402,1,"Number",2023,360476.6212,495546.9789,242730.22
"Acute hepatitis B",0,2,"DALYs (Disability-Adjusted Life Years)",158,"South Asia",3,"Both",22,"All ages",402,1,"Number",2023,888700.4982,1608437.378,384321.4969
"Acute hepatitis B",0,2,"DALYs (Disability-Adjusted Life Years)",31,"Central Europe, Eastern Europe, and Central Asia",3,"Both",22,"All ages",402,1,"Number",2023,20924.94277,25295.31862,17188.41528
"Acute hepatitis B",0,2,"DALYs (Disability-Adjusted Life Years)",166,"Sub-Saharan Africa",3,"Both",22,"All ages",402,1,"Number",2023,1117431.614,1803366.869,586649.4627
"Acute hepatitis B",0,2,"DALYs (Disability-Adjusted Life Years)",64,"High-income",3,"Both",22,"All ages",402,1,"Number",2023,12275.52115,16351.08843,9365.732137
"Acute hepatitis B",0,2,"DALYs (Disability-Adjusted Life Years)",137,"North Africa and Middle East",3,"Both",22,"All ages",402,1,"Number",2023,135840.651,206682.8364,76360.34246
"Acute hepatitis B",0,2,"DALYs (Disability-Adjusted Life Years)",103,"Latin America and Caribbean",3,"Both",22,"All ages",402,1,"Number",2023,11860.97678,14527.22204,9710.155192
"Acute hepatitis B",0,2,"DALYs (Disability-Adjusted Life Years)",44586,"G20",3,"Both",22,"All ages",402,1,"Number",2023,966881.7425,1467085.823,519318.7069
"Acute hepatitis B",0,2,"DALYs (Disability-Adjusted Life Years)",44587,"African Union",3,"Both",22,"All ages",402,1,"Number",2023,1206150.646,1954610.886,632753.971
"Acute hepatitis B",0,2,"DALYs (Disability-Adjusted Life Years)",478,"World Bank Regions",3,"Both",22,"All ages",402,1,"Number",2023,2546341.291,3754345.172,1513049.337
"Acute hepatitis B",0,2,"DALYs (Disability-Adjusted Life Years)",251,"Melanesia",3,"Both",22,"All ages",402,1,"Number",2023,7654.256464,13910.69893,2545.112799
"Acute hepatitis B",0,2,"DALYs (Disability-Adjusted Life Years)",479,"WHO region",3,"Both",22,"All ages",402,1,"Number",2023,2545344.862,3753237.034,1512108.594
"Acute hepatitis B",0,2,"DALYs (Disability-Adjusted Life Years)",44634,"High-middle SDI",3,"Both",22,"All ages",402,1,"Number",2023,363577.0155,526087.1002,217293.9147
"Acute hepatitis B",0,2,"DALYs (Disability-Adjusted Life Years)",252,"Micronesia",3,"Both",22,"All ages",402,1,"Number",2023,171.1732919,256.3183932,109.1088048
"Acute hepatitis B",0,2,"DALYs (Disability-Adjusted Life Years)",257,"Polynesia",3,"Both",22,"All ages",402,1,"Number",2023,100.5605867,168.0442801,56.10183944
"Acute hepatitis B",0,2,"DALYs (Disability-Adjusted Life Years)",44636,"Low-middle SDI",3,"Both",22,"All ages",402,1,"Number",2023,414728.5791,725080.4625,210327.4117
"Acute hepatitis B",0,2,"DALYs (Disability-Adjusted Life Years)",44639,"Middle SDI",3,"Both",22,"All ages",402,1,"Number",2023,273304.7478,399399.49,166592.1675
"Acute hepatitis B",0,2,"DALYs (Disability-Adjusted Life Years)",94217,"Gulf Cooperation Council",3,"Both",22,"All ages",402,1,"Number",2023,3459.584351,4796.070008,2251.576391
"Acute hepatitis B",0,2,"DALYs (Disability-Adjusted Life Years)",44642,"Nordic Region",3,"Both",22,"All ages",402,1,"Number",2023,112.57802,157.4062889,83.93898577
"Acute hepatitis B",0,2,"DALYs (Disability-Adjusted Life Years)",4745,"League of Arab States",3,"Both",22,"All ages",402,1,"Number",2023,157075.0578,261324.1424,79577.9246
"Acute hepatitis B",0,2,"DALYs (Disability-Adjusted Life Years)",44591,"World Bank Income Levels",3,"Both",22,"All ages",402,1,"Number",2023,2546341.291,3754345.172,1513049.337
"Acute hepatitis B",0,2,"DALYs (Disability-Adjusted Life Years)",4743,"European Union",3,"Both",22,"All ages",402,1,"Number",2023,4714.192556,6332.376571,3523.882685
"Acute hepatitis B",0,2,"DALYs (Disability-Adjusted Life Years)",44635,"High SDI",3,"Both",22,"All ages",402,1,"Number",2023,106600.6855,130665.3651,85072.3459
"Acute hepatitis B",0,2,"DALYs (Disability-Adjusted Life Years)",44637,"Low SDI",3,"Both",22,"All ages",402,1,"Number",2023,1388130.673,2241813.646,771189.3018
"Acute hepatitis B",0,2,"DALYs (Disability-Adjusted Life Years)",44534,"Commonwealth",3,"Both",22,"All ages",402,1,"Number",2023,1437460.977,2296670.709,774682.19
"Acute hepatitis B",0,2,"DALYs (Disability-Adjusted Life Years)",44584,"OECD Countries",3,"Both",22,"All ages",402,1,"Number",2023,22470.35179,28057.98727,18107.27945
"Acute hepatitis B",0,2,"DALYs (Disability-Adjusted Life Years)",94215,"Organization of Islamic Cooperation",3,"Both",22,"All ages",402,1,"Number",2023,1277786.334,2003042.499,657052.1295
"Acute hepatitis B",0,2,"DALYs (Disability-Adjusted Life Years)",94216,"Association of Southeast Asian Nations",3,"Both",22,"All ages",402,1,"Number",2023,237517.9816,364858.8698,135577.1101
"Acute hepatitis B",0,2,"DALYs (Disability-Adjusted Life Years)",94366,"Sahel Region",3,"Both",22,"All ages",402,1,"Number",2023,675140.8279,1202619.671,257735.1822
"Acute hepatitis C",0,2,"DALYs (Disability-Adjusted Life Years)",4,"Southeast Asia, East Asia, and Oceania",3,"Both",22,"All ages",403,1,"Number",2023,37043.03987,76563.04344,15194.71597
"Acute hepatitis C",0,2,"DALYs (Disability-Adjusted Life Years)",158,"South Asia",3,"Both",22,"All ages",403,1,"Number",2023,121205.2343,261599.6936,27082.5738
"Acute hepatitis C",0,2,"DALYs (Disability-Adjusted Life Years)",31,"Central Europe, Eastern Europe, and Central Asia",3,"Both",22,"All ages",403,1,"Number",2023,1179.711917,1773.427546,775.0797344
"Acute hepatitis C",0,2,"DALYs (Disability-Adjusted Life Years)",166,"Sub-Saharan Africa",3,"Both",22,"All ages",403,1,"Number",2023,80928.77568,168924.1515,30171.73768
"Acute hepatitis C",0,2,"DALYs (Disability-Adjusted Life Years)",64,"High-income",3,"Both",22,"All ages",403,1,"Number",2023,1750.248632,2789.442761,1115.142552
