GBD.term,n_total_studies,weighted_nhits,weighted_attention_score_impact_factor,weighted_n,nhit,total_attention_score
Urticaria,325,364.8483649,560.1396396,57.92625879,676,1820481
Uterine cancer,16,0.86184321,2.399103827,0.297627027,16,45540
Uterine fibroids,594,14839.35025,2918.05004,207.1512794,19242,18532584
Varicella and herpes zoster,384,306.2853421,585.9488989,61.57256684,600,1329312
Vascular intestinal disorders,0,0,0,0,0,0
Viral skin diseases,252,182.5382664,103.8297487,21.24071048,1575,132468
Visceral leishmaniasis,4,2,61.83333333,2.111111111,2,64390
Vitamin A deficiency,40,0.054529357,1.295838848,0.041134166,50,70442
Yellow fever,1,0,0.302803738,0.009345794,0,1745
Zika virus,0,0,0,0,0,0
