"age_group_id","cause_id","location_id","measure_id","metric_id","sex_id","year_id","acause","age_group_name","cause_name","expected","location_name","location_type","measure","measure_name","metric_name","sex","val","upper","lower"
22,300,44639,2,1,1,1990,"hiv_other","All Ages","HIV/AIDS resulting in other diseases",FALSE,"Middle SDI","region","daly","DALYs (Disability-Adjusted Life Years)","Number","Male",108335.604412598,144543.200121507,82417.0566421624
22,300,44639,2,1,1,2023,"hiv_other","All Ages","HIV/AIDS resulting in other diseases",FALSE,"Middle SDI","region","daly","DALYs (Disability-Adjusted Life Years)","Number","Male",1554245.38606669,1858544.62851171,1281109.39632701
22,300,44639,2,1,2,1990,"hiv_other","All Ages","HIV/AIDS resulting in other diseases",FALSE,"Middle SDI","region","daly","DALYs (Disability-Adjusted Life Years)","Number","Female",53105.7622486758,68713.4252947718,42124.1590407249
22,300,44639,2,1,2,2023,"hiv_other","All Ages","HIV/AIDS resulting in other diseases",FALSE,"Middle SDI","region","daly","DALYs (Disability-Adjusted Life Years)","Number","Female",1241862.64981304,1514429.16123367,971954.613397154
22,394,44634,2,1,1,1990,"std_syphilis","All Ages","Syphilis",FALSE,"High-middle SDI","region","daly","DALYs (Disability-Adjusted Life Years)","Number","Male",433641.881047094,798155.787588531,184513.310457864
22,394,44634,2,1,1,2023,"std_syphilis","All Ages","Syphilis",FALSE,"High-middle SDI","region","daly","DALYs (Disability-Adjusted Life Years)","Number","Male",253046.667191585,476540.138301456,108690.986458445
22,394,44634,2,1,2,1990,"std_syphilis","All Ages","Syphilis",FALSE,"High-middle SDI","region","daly","DALYs (Disability-Adjusted Life Years)","Number","Female",323345.953149475,616011.996383682,135514.532151352
22,394,44634,2,1,2,2023,"std_syphilis","All Ages","Syphilis",FALSE,"High-middle SDI","region","daly","DALYs (Disability-Adjusted Life Years)","Number","Female",212810.36294287,408656.136819061,86065.829845831
22,394,44635,2,1,1,1990,"std_syphilis","All Ages","Syphilis",FALSE,"High SDI","region","daly","DALYs (Disability-Adjusted Life Years)","Number","Male",146528.623585975,273204.045328136,73556.6265344271
22,394,44635,2,1,1,2023,"std_syphilis","All Ages","Syphilis",FALSE,"High SDI","region","daly","DALYs (Disability-Adjusted Life Years)","Number","Male",58847.844827826,97822.5642181534,33160.5719219297
22,394,44635,2,1,2,1990,"std_syphilis","All Ages","Syphilis",FALSE,"High SDI","region","daly","DALYs (Disability-Adjusted Life Years)","Number","Female",100315.385177764,191209.335750593,43556.1158371111
22,394,44635,2,1,2,2023,"std_syphilis","All Ages","Syphilis",FALSE,"High SDI","region","daly","DALYs (Disability-Adjusted Life Years)","Number","Female",43123.6193963548,72584.0035663525,22938.2534656552
22,394,44636,2,1,1,1990,"std_syphilis","All Ages","Syphilis",FALSE,"Low-middle SDI","region","daly","DALYs (Disability-Adjusted Life Years)","Number","Male",718008.484526019,1427260.27833891,268595.360795386
