"condition_name","cause_id","gbd_level","parent_name","siblings","n_siblings","is_residual","alias","excluded_alias","scope_note"
"Tracheal, bronchus, and lung cancer","426",3,"Neoplasms","Bladder cancer | Brain and central nervous system cancer | Breast cancer | Cervical cancer | Colon and rectum cancer | Esophageal cancer | Eye cancer | Gallbladder and biliary tract cancer | Hodgkin lymphoma | Kidney cancer | Larynx cancer | Leukemia | Lip and oral cavity cancer | Liver cancer | Malignant neoplasm of bone and articular cartilage | Malignant skin melanoma | Mesothelioma | Multiple myeloma | Nasopharynx cancer | Neuroblastoma and other peripheral nervous cell tumors | Non-Hodgkin lymphoma | Non-melanoma skin cancer | Other malignant neoplasms | Other neoplasms | Other pharynx cancer | Ovarian cancer | Pancreatic cancer | Prostate cancer | Soft tissue and other extraosseous sarcomas | Stomach cancer | Testicular cancer | Thyroid cancer | Uterine cancer",33,FALSE,NA,NA,NA
"Trachoma","356",3,"Neglected tropical diseases and malaria","African trypanosomiasis | Chagas disease | Cystic echinococcosis | Cysticercosis | Dengue | Ebola | Food-borne trematodiases | Guinea worm disease | Intestinal nematode infections | Leishmaniasis | Leprosy | Lymphatic filariasis | Malaria | Onchocerciasis | Other neglected tropical diseases | Rabies | Schistosomiasis | Yellow fever | Zika virus",19,FALSE,NA,NA,NA
"Tuberculosis","297",3,"Respiratory infections and tuberculosis","COVID-19 | Lower respiratory infections | Otitis media | Upper respiratory infections",4,FALSE,NA,NA,NA
"Typhoid and paratyphoid","958",3,"Enteric infections","Diarrheal diseases | Invasive Non-typhoidal Salmonella (iNTS) | Other intestinal infectious diseases",3,FALSE,NA,NA,NA
"Upper digestive system diseases","992",3,"Digestive diseases","Appendicitis | Cirrhosis and other chronic liver diseases | Gallbladder and biliary diseases | Inflammatory bowel disease | Inguinal, femoral, and abdominal hernia | Other digestive diseases | Pancreatitis | Paralytic ileus and intestinal obstruction | Vascular intestinal disorders",9,FALSE,NA,NA,NA
"Upper respiratory infections","328",3,"Respiratory infections and tuberculosis","COVID-19 | Lower respiratory infections | Otitis media | Tuberculosis",4,FALSE,NA,NA,NA
"Urinary diseases and male infertility","594",3,"Other non-communicable diseases","Congenital birth defects | Endocrine, metabolic, blood, and immune disorders | Gynecological diseases | Hemoglobinopathies and hemolytic anemias | Oral disorders | Sudden infant death syndrome",6,FALSE,NA,NA,NA
"Urticaria","664",3,"Skin and subcutaneous diseases","Acne vulgaris | Alopecia areata | Bacterial skin diseases | Decubitus ulcer | Dermatitis | Fungal skin diseases | Other skin and subcutaneous diseases | Pruritus | Psoriasis | Scabies | Viral skin diseases",11,FALSE,NA,NA,NA
"Uterine cancer","435",3,"Neoplasms","Bladder cancer | Brain and central nervous system cancer | Breast cancer | Cervical cancer | Colon and rectum cancer | Esophageal cancer | Eye cancer | Gallbladder and biliary tract cancer | Hodgkin lymphoma | Kidney cancer | Larynx cancer | Leukemia | Lip and oral cavity cancer | Liver cancer | Malignant neoplasm of bone and articular cartilage | Malignant skin melanoma | Mesothelioma | Multiple myeloma | Nasopharynx cancer | Neuroblastoma and other peripheral nervous cell tumors | Non-Hodgkin lymphoma | Non-melanoma skin cancer | Other malignant neoplasms | Other neoplasms | Other pharynx cancer | Ovarian cancer | Pancreatic cancer | Prostate cancer | Soft tissue and other extraosseous sarcomas | Stomach cancer | Testicular cancer | Thyroid cancer | Tracheal, bronchus, and lung cancer",33,FALSE,NA,NA,NA
"Varicella and herpes zoster","342",3,"Other infectious diseases","Acute hepatitis | Diphtheria | Encephalitis | Measles | Meningitis | Other unspecified infectious diseases | Pertussis | Tetanus",8,FALSE,NA,NA,NA
"Vascular intestinal disorders","533",3,"Digestive diseases","Appendicitis | Cirrhosis and other chronic liver diseases | Gallbladder and biliary diseases | Inflammatory bowel disease | Inguinal, femoral, and abdominal hernia | Other digestive diseases | Pancreatitis | Paralytic ileus and intestinal obstruction | Upper digestive system diseases",9,FALSE,NA,NA,NA
"Viral skin diseases","660",3,"Skin and subcutaneous diseases","Acne vulgaris | Alopecia areata | Bacterial skin diseases | Decubitus ulcer | Dermatitis | Fungal skin diseases | Other skin and subcutaneous diseases | Pruritus | Psoriasis | Scabies | Urticaria",11,FALSE,NA,NA,NA
"Vitamin A deficiency","389",3,"Nutritional deficiencies","Dietary iron deficiency | Iodine deficiency | Other nutritional deficiencies | Protein-energy malnutrition",4,FALSE,NA,NA,NA
"Yellow fever","358",3,"Neglected tropical diseases and malaria","African trypanosomiasis | Chagas disease | Cystic echinococcosis | Cysticercosis | Dengue | Ebola | Food-borne trematodiases | Guinea worm disease | Intestinal nematode infections | Leishmaniasis | Leprosy | Lymphatic filariasis | Malaria | Onchocerciasis | Other neglected tropical diseases | Rabies | Schistosomiasis | Trachoma | Zika virus",19,FALSE,NA,NA,NA
"Zika virus","935",3,"Neglected tropical diseases and malaria","African trypanosomiasis | Chagas disease | Cystic echinococcosis | Cysticercosis | Dengue | Ebola | Food-borne trematodiases | Guinea worm disease | Intestinal nematode infections | Leishmaniasis | Leprosy | Lymphatic filariasis | Malaria | Onchocerciasis | Other neglected tropical diseases | Rabies | Schistosomiasis | Trachoma | Yellow fever",19,FALSE,NA,NA,NA
"Acute hepatitis A","401",4,"Acute hepatitis","Acute hepatitis B | Acute hepatitis C | Acute hepatitis E",3,FALSE,NA,NA,NA
"Acute hepatitis B","402",4,"Acute hepatitis","Acute hepatitis A | Acute hepatitis C | Acute hepatitis E",3,FALSE,NA,NA,NA
"Acute hepatitis C","403",4,"Acute hepatitis","Acute hepatitis A | Acute hepatitis B | Acute hepatitis E",3,FALSE,NA,NA,NA
"Acute hepatitis E","404",4,"Acute hepatitis","Acute hepatitis A | Acute hepatitis B | Acute hepatitis C",3,FALSE,NA,NA,NA
"Acute lymphoid leukemia","845",4,"Leukemia","Acute myeloid leukemia | Chronic lymphoid leukemia | Chronic myeloid leukemia | Other leukemia",4,FALSE,NA,NA,NA
"Acute myeloid leukemia","847",4,"Leukemia","Acute lymphoid leukemia | Chronic lymphoid leukemia | Chronic myeloid leukemia | Other leukemia",4,FALSE,NA,NA,NA
"Age-related macular degeneration","672",4,"Blindness and vision loss","Cataract | Glaucoma | Near vision loss | Other vision loss | Refraction disorders",5,FALSE,NA,NA,NA
"Alcoholic cardiomyopathy","938",4,"Cardiomyopathy and myocarditis","Myocarditis | Other cardiomyopathy",2,FALSE,NA,NA,NA
"Amphetamine use disorders","564",4,"Drug use disorders","Cannabis use disorders | Cocaine use disorders | Opioid use disorders | Other drug use disorders",4,FALSE,NA,NA,NA
"Anorexia nervosa","573",4,"Eating disorders","Bulimia nervosa",1,FALSE,NA,NA,NA
"Asbestosis","512",4,"Pneumoconiosis","Coal workers pneumoconiosis | Other pneumoconiosis | Silicosis",3,FALSE,NA,NA,NA
"Ascariasis","361",4,"Intestinal nematode infections","Hookworm disease | Trichuriasis",2,FALSE,NA,NA,NA
"Atopic dermatitis","977",4,"Dermatitis","Contact dermatitis | Seborrhoeic dermatitis",2,FALSE,NA,NA,NA
"Benign and in situ cervical and uterine neoplasms","966",4,"Other neoplasms","Benign and in situ intestinal neoplasms | Myelodysplastic, myeloproliferative, and other hematopoietic neoplasms | Other benign and in situ neoplasms",3,FALSE,NA,NA,NA
"Benign and in situ intestinal neoplasms","965",4,"Other neoplasms","Benign and in situ cervical and uterine neoplasms | Myelodysplastic, myeloproliferative, and other hematopoietic neoplasms | Other benign and in situ neoplasms",3,FALSE,NA,NA,NA
"Benign prostatic hyperplasia","597",4,"Urinary diseases and male infertility","Male infertility | Other urinary diseases | Urinary tract infections and interstitial nephritis | Urolithiasis",4,FALSE,NA,NA,NA
"Bulimia nervosa","574",4,"Eating disorders","Anorexia nervosa",1,FALSE,NA,NA,NA
"Burkitt lymphoma","1006",4,"Non-Hodgkin lymphoma","Other non-Hodgkin lymphoma",1,FALSE,NA,NA,NA
"Cannabis use disorders","565",4,"Drug use disorders","Amphetamine use disorders | Cocaine use disorders | Opioid use disorders | Other drug use disorders",4,FALSE,NA,NA,NA
"Caries of deciduous teeth","681",4,"Oral disorders","Caries of permanent teeth | Edentulism | Other oral disorders | Periodontal diseases",4,FALSE,NA,NA,NA
"Caries of permanent teeth","682",4,"Oral disorders","Caries of deciduous teeth | Edentulism | Other oral disorders | Periodontal diseases",4,FALSE,NA,NA,NA
"Cataract","671",4,"Blindness and vision loss","Age-related macular degeneration | Glaucoma | Near vision loss | Other vision loss | Refraction disorders",5,FALSE,NA,NA,NA
"Cellulitis","656",4,"Bacterial skin diseases","Pyoderma",1,FALSE,NA,NA,NA
"Chlamydial infection","395",4,"Sexually transmitted infections excluding HIV","Genital herpes | Gonococcal infection | Other sexually transmitted infections | Syphilis | Trichomoniasis",5,FALSE,NA,NA,NA
"Chronic hepatitis B including cirrhosis","522",4,"Cirrhosis","Chronic hepatitis C including cirrhosis | Cirrhosis due to alcohol | Cirrhosis due to other causes | Nonalcoholic fatty liver disease including cirrhosis",4,FALSE,NA,NA,NA
"Chronic hepatitis C including cirrhosis","523",4,"Cirrhosis","Chronic hepatitis B including cirrhosis | Cirrhosis due to alcohol | Cirrhosis due to other causes | Nonalcoholic fatty liver disease including cirrhosis",4,FALSE,NA,NA,NA
"Chronic kidney disease due to diabetes mellitus type 1","997",4,"Chronic kidney disease","Chronic kidney disease due to diabetes mellitus type 2 | Chronic kidney disease due to glomerulonephritis | Chronic kidney disease due to hypertension | Chronic kidney disease due to other and unspecified causes",4,FALSE,NA,NA,NA
"Chronic kidney disease due to diabetes mellitus type 2","998",4,"Chronic kidney disease","Chronic kidney disease due to diabetes mellitus type 1 | Chronic kidney disease due to glomerulonephritis | Chronic kidney disease due to hypertension | Chronic kidney disease due to other and unspecified causes",4,FALSE,NA,NA,NA
"Chronic kidney disease due to glomerulonephritis","592",4,"Chronic kidney disease","Chronic kidney disease due to diabetes mellitus type 1 | Chronic kidney disease due to diabetes mellitus type 2 | Chronic kidney disease due to hypertension | Chronic kidney disease due to other and unspecified causes",4,FALSE,NA,NA,NA
"Chronic kidney disease due to hypertension","591",4,"Chronic kidney disease","Chronic kidney disease due to diabetes mellitus type 1 | Chronic kidney disease due to diabetes mellitus type 2 | Chronic kidney disease due to glomerulonephritis | Chronic kidney disease due to other and unspecified causes",4,FALSE,NA,NA,NA
"Chronic kidney disease due to other and unspecified causes","593",4,"Chronic kidney disease","Chronic kidney disease due to diabetes mellitus type 1 | Chronic kidney disease due to diabetes mellitus type 2 | Chronic kidney disease due to glomerulonephritis | Chronic kidney disease due to hypertension",4,FALSE,NA,NA,NA
"Chronic lymphoid leukemia","846",4,"Leukemia","Acute lymphoid leukemia | Acute myeloid leukemia | Chronic myeloid leukemia | Other leukemia",4,FALSE,NA,NA,NA
"Chronic myeloid leukemia","848",4,"Leukemia","Acute lymphoid leukemia | Acute myeloid leukemia | Chronic lymphoid leukemia | Other leukemia",4,FALSE,NA,NA,NA
"Cirrhosis due to alcohol","524",4,"Cirrhosis","Chronic hepatitis B including cirrhosis | Chronic hepatitis C including cirrhosis | Cirrhosis due to other causes | Nonalcoholic fatty liver disease including cirrhosis",4,FALSE,NA,NA,NA
"Cirrhosis due to other causes","525",4,"Cirrhosis","Chronic hepatitis B including cirrhosis | Chronic hepatitis C including cirrhosis | Cirrhosis due to alcohol | Nonalcoholic fatty liver disease including cirrhosis",4,FALSE,NA,NA,NA
"Coal workers pneumoconiosis","513",4,"Pneumoconiosis","Asbestosis | Other pneumoconiosis | Silicosis",3,FALSE,NA,NA,NA
"Cocaine use disorders","563",4,"Drug use disorders","Amphetamine use disorders | Cannabis use disorders | Opioid use disorders | Other drug use disorders",4,FALSE,NA,NA,NA
"Congenital heart anomalies","643",4,"Congenital birth defects","Congenital musculoskeletal and limb anomalies | Digestive congenital anomalies | Down syndrome | Klinefelter syndrome | Neural tube defects | Orofacial clefts | Other chromosomal abnormalities | Other congenital birth defects | Turner syndrome | Urogenital congenital anomalies",10,FALSE,NA,NA,NA
"Congenital musculoskeletal and limb anomalies","649",4,"Congenital birth defects","Congenital heart anomalies | Digestive congenital anomalies | Down syndrome | Klinefelter syndrome | Neural tube defects | Orofacial clefts | Other chromosomal abnormalities | Other congenital birth defects | Turner syndrome | Urogenital congenital anomalies",10,FALSE,NA,NA,NA
"Contact dermatitis","978",4,"Dermatitis","Atopic dermatitis | Seborrhoeic dermatitis",2,FALSE,NA,NA,NA
"Crohn's disease","1025",4,"Inflammatory bowel disease","Ulcerative colitis",1,FALSE,NA,NA,NA
"Cutaneous and mucocutaneous leishmaniasis","349",4,"Leishmaniasis","Visceral leishmaniasis",1,FALSE,NA,NA,NA
"Diabetes mellitus type 1","975",4,"Diabetes mellitus","Diabetes mellitus type 2",1,FALSE,NA,NA,NA
"Diabetes mellitus type 2","976",4,"Diabetes mellitus","Diabetes mellitus type 1",1,FALSE,NA,NA,NA
"Digestive congenital anomalies","651",4,"Congenital birth defects","Congenital heart anomalies | Congenital musculoskeletal and limb anomalies | Down syndrome | Klinefelter syndrome | Neural tube defects | Orofacial clefts | Other chromosomal abnormalities | Other congenital birth defects | Turner syndrome | Urogenital congenital anomalies",10,FALSE,NA,NA,NA
"Down syndrome","645",4,"Congenital birth defects","Congenital heart anomalies | Congenital musculoskeletal and limb anomalies | Digestive congenital anomalies | Klinefelter syndrome | Neural tube defects | Orofacial clefts | Other chromosomal abnormalities | Other congenital birth defects | Turner syndrome | Urogenital congenital anomalies",10,FALSE,NA,NA,NA
"Drug-susceptible tuberculosis","934",4,"Tuberculosis","Extensively drug-resistant tuberculosis | Latent tuberculosis infection | Multidrug-resistant tuberculosis without extensive drug resistance",3,FALSE,NA,NA,NA
"Dysthymia","569",4,"Depressive disorders","Major depressive disorder",1,FALSE,NA,NA,NA
"Ectopic pregnancy","374",4,"Maternal disorders","Indirect maternal deaths | Late maternal deaths | Maternal abortion and miscarriage | Maternal deaths aggravated by HIV/AIDS | Maternal hemorrhage | Maternal hypertensive disorders | Maternal obstructed labor and uterine rupture | Maternal sepsis and other maternal infections | Other direct maternal disorders",9,FALSE,NA,NA,NA
"Edentulism","684",4,"Oral disorders","Caries of deciduous teeth | Caries of permanent teeth | Other oral disorders | Periodontal diseases",4,FALSE,NA,NA,NA
"Endometriosis","607",4,"Gynecological diseases","Female infertility | Genital prolapse | Other gynecological diseases | Polycystic ovarian syndrome | Premenstrual syndrome | Uterine fibroids",6,FALSE,NA,NA,NA
"Extensively drug-resistant tuberculosis","947",4,"Tuberculosis","Drug-susceptible tuberculosis | Latent tuberculosis infection | Multidrug-resistant tuberculosis without extensive drug resistance",3,FALSE,NA,NA,NA
"Female infertility","606",4,"Gynecological diseases","Endometriosis | Genital prolapse | Other gynecological diseases | Polycystic ovarian syndrome | Premenstrual syndrome | Uterine fibroids",6,FALSE,NA,NA,NA
"G6PD deficiency","616",4,"Hemoglobinopathies and hemolytic anemias","G6PD trait | Other hemoglobinopathies and hemolytic anemias | Sickle cell disorders | Sickle cell trait | Thalassemias | Thalassemias trait",6,FALSE,NA,NA,NA
"G6PD trait","839",4,"Hemoglobinopathies and hemolytic anemias","G6PD deficiency | Other hemoglobinopathies and hemolytic anemias | Sickle cell disorders | Sickle cell trait | Thalassemias | Thalassemias trait",6,FALSE,NA,NA,NA
"Gastritis and duodenitis","528",4,"Upper digestive system diseases","Gastroesophageal reflux disease | Peptic ulcer disease",2,FALSE,NA,NA,NA
"Gastroesophageal reflux disease","536",4,"Upper digestive system diseases","Gastritis and duodenitis | Peptic ulcer disease",2,FALSE,NA,NA,NA
"Genital herpes","398",4,"Sexually transmitted infections excluding HIV","Chlamydial infection | Gonococcal infection | Other sexually transmitted infections | Syphilis | Trichomoniasis",5,FALSE,NA,NA,NA
"Genital prolapse","608",4,"Gynecological diseases","Endometriosis | Female infertility | Other gynecological diseases | Polycystic ovarian syndrome | Premenstrual syndrome | Uterine fibroids",6,FALSE,NA,NA,NA
"Glaucoma","670",4,"Blindness and vision loss","Age-related macular degeneration | Cataract | Near vision loss | Other vision loss | Refraction disorders",5,FALSE,NA,NA,NA
"Gonococcal infection","396",4,"Sexually transmitted infections excluding HIV","Chlamydial infection | Genital herpes | Other sexually transmitted infections | Syphilis | Trichomoniasis",5,FALSE,NA,NA,NA
"HIV/AIDS - Drug-susceptible Tuberculosis","948",4,"HIV/AIDS","HIV/AIDS - Extensively drug-resistant Tuberculosis | HIV/AIDS - Multidrug-resistant Tuberculosis without extensive drug resistance | HIV/AIDS resulting in other diseases",3,FALSE,NA,NA,NA
"HIV/AIDS - Extensively drug-resistant Tuberculosis","950",4,"HIV/AIDS","HIV/AIDS - Drug-susceptible Tuberculosis | HIV/AIDS - Multidrug-resistant Tuberculosis without extensive drug resistance | HIV/AIDS resulting in other diseases",3,FALSE,NA,NA,NA
"HIV/AIDS - Multidrug-resistant Tuberculosis without extensive drug resistance","949",4,"HIV/AIDS","HIV/AIDS - Drug-susceptible Tuberculosis | HIV/AIDS - Extensively drug-resistant Tuberculosis | HIV/AIDS resulting in other diseases",3,FALSE,NA,NA,NA
"HIV/AIDS resulting in other diseases","300",4,"HIV/AIDS","HIV/AIDS - Drug-susceptible Tuberculosis | HIV/AIDS - Extensively drug-resistant Tuberculosis | HIV/AIDS - Multidrug-resistant Tuberculosis without extensive drug resistance",3,FALSE,NA,NA,NA
"Hemolytic disease and other neonatal jaundice","384",4,"Neonatal disorders","Neonatal encephalopathy due to birth asphyxia and trauma | Neonatal preterm birth | Neonatal sepsis and other neonatal infections | Other neonatal disorders",4,FALSE,NA,NA,NA
"Hepatoblastoma","1005",4,"Liver cancer","Liver cancer due to alcohol use | Liver cancer due to hepatitis B | Liver cancer due to hepatitis C | Liver cancer due to NASH | Liver cancer due to other causes",5,FALSE,NA,NA,NA
"Hookworm disease","363",4,"Intestinal nematode infections","Ascariasis | Trichuriasis",2,FALSE,NA,NA,NA
"Indirect maternal deaths","375",4,"Maternal disorders","Ectopic pregnancy | Late maternal deaths | Maternal abortion and miscarriage | Maternal deaths aggravated by HIV/AIDS | Maternal hemorrhage | Maternal hypertensive disorders | Maternal obstructed labor and uterine rupture | Maternal sepsis and other maternal infections | Other direct maternal disorders",9,FALSE,NA,NA,NA
"Intracerebral hemorrhage","496",4,"Stroke","Ischemic stroke | Subarachnoid hemorrhage",2,FALSE,NA,NA,NA
"Ischemic stroke","495",4,"Stroke","Intracerebral hemorrhage | Subarachnoid hemorrhage",2,FALSE,NA,NA,NA
"Klinefelter syndrome","647",4,"Congenital birth defects","Congenital heart anomalies | Congenital musculoskeletal and limb anomalies | Digestive congenital anomalies | Down syndrome | Neural tube defects | Orofacial clefts | Other chromosomal abnormalities | Other congenital birth defects | Turner syndrome | Urogenital congenital anomalies",10,FALSE,NA,NA,NA
"Late maternal deaths","376",4,"Maternal disorders","Ectopic pregnancy | Indirect maternal deaths | Maternal abortion and miscarriage | Maternal deaths aggravated by HIV/AIDS | Maternal hemorrhage | Maternal hypertensive disorders | Maternal obstructed labor and uterine rupture | Maternal sepsis and other maternal infections | Other direct maternal disorders",9,FALSE,NA,NA,NA
"Latent tuberculosis infection","954",4,"Tuberculosis","Drug-susceptible tuberculosis | Extensively drug-resistant tuberculosis | Multidrug-resistant tuberculosis without extensive drug resistance",3,FALSE,NA,NA,NA
"Liver cancer due to NASH","996",4,"Liver cancer","Hepatoblastoma | Liver cancer due to alcohol use | Liver cancer due to hepatitis B | Liver cancer due to hepatitis C | Liver cancer due to other causes",5,FALSE,NA,NA,NA
"Liver cancer due to alcohol use","420",4,"Liver cancer","Hepatoblastoma | Liver cancer due to hepatitis B | Liver cancer due to hepatitis C | Liver cancer due to NASH | Liver cancer due to other causes",5,FALSE,NA,NA,NA
"Liver cancer due to hepatitis B","418",4,"Liver cancer","Hepatoblastoma | Liver cancer due to alcohol use | Liver cancer due to hepatitis C | Liver cancer due to NASH | Liver cancer due to other causes",5,FALSE,NA,NA,NA
"Liver cancer due to hepatitis C","419",4,"Liver cancer","Hepatoblastoma | Liver cancer due to alcohol use | Liver cancer due to hepatitis B | Liver cancer due to NASH | Liver cancer due to other causes",5,FALSE,NA,NA,NA
"Liver cancer due to other causes","421",4,"Liver cancer","Hepatoblastoma | Liver cancer due to alcohol use | Liver cancer due to hepatitis B | Liver cancer due to hepatitis C | Liver cancer due to NASH",5,FALSE,NA,NA,NA
"Major depressive disorder","568",4,"Depressive disorders","Dysthymia",1,FALSE,NA,NA,NA
"Male infertility","598",4,"Urinary diseases and male infertility","Benign prostatic hyperplasia | Other urinary diseases | Urinary tract infections and interstitial nephritis | Urolithiasis",4,FALSE,NA,NA,NA
"Maternal abortion and miscarriage","995",4,"Maternal disorders","Ectopic pregnancy | Indirect maternal deaths | Late maternal deaths | Maternal deaths aggravated by HIV/AIDS | Maternal hemorrhage | Maternal hypertensive disorders | Maternal obstructed labor and uterine rupture | Maternal sepsis and other maternal infections | Other direct maternal disorders",9,FALSE,NA,NA,NA
"Maternal deaths aggravated by HIV/AIDS","741",4,"Maternal disorders","Ectopic pregnancy | Indirect maternal deaths | Late maternal deaths | Maternal abortion and miscarriage | Maternal hemorrhage | Maternal hypertensive disorders | Maternal obstructed labor and uterine rupture | Maternal sepsis and other maternal infections | Other direct maternal disorders",9,FALSE,NA,NA,NA
"Maternal hemorrhage","367",4,"Maternal disorders","Ectopic pregnancy | Indirect maternal deaths | Late maternal deaths | Maternal abortion and miscarriage | Maternal deaths aggravated by HIV/AIDS | Maternal hypertensive disorders | Maternal obstructed labor and uterine rupture | Maternal sepsis and other maternal infections | Other direct maternal disorders",9,FALSE,NA,NA,NA
"Maternal hypertensive disorders","369",4,"Maternal disorders","Ectopic pregnancy | Indirect maternal deaths | Late maternal deaths | Maternal abortion and miscarriage | Maternal deaths aggravated by HIV/AIDS | Maternal hemorrhage | Maternal obstructed labor and uterine rupture | Maternal sepsis and other maternal infections | Other direct maternal disorders",9,FALSE,NA,NA,NA
"Maternal obstructed labor and uterine rupture","370",4,"Maternal disorders","Ectopic pregnancy | Indirect maternal deaths | Late maternal deaths | Maternal abortion and miscarriage | Maternal deaths aggravated by HIV/AIDS | Maternal hemorrhage | Maternal hypertensive disorders | Maternal sepsis and other maternal infections | Other direct maternal disorders",9,FALSE,NA,NA,NA
"Maternal sepsis and other maternal infections","368",4,"Maternal disorders","Ectopic pregnancy | Indirect maternal deaths | Late maternal deaths | Maternal abortion and miscarriage | Maternal deaths aggravated by HIV/AIDS | Maternal hemorrhage | Maternal hypertensive disorders | Maternal obstructed labor and uterine rupture | Other direct maternal disorders",9,FALSE,NA,NA,NA
"Migraine","547",4,"Headache disorders","Tension-type headache",1,FALSE,NA,NA,NA
"Multidrug-resistant tuberculosis without extensive drug resistance","946",4,"Tuberculosis","Drug-susceptible tuberculosis | Extensively drug-resistant tuberculosis | Latent tuberculosis infection",3,FALSE,NA,NA,NA
"Myelodysplastic, myeloproliferative, and other hematopoietic neoplasms","964",4,"Other neoplasms","Benign and in situ cervical and uterine neoplasms | Benign and in situ intestinal neoplasms | Other benign and in situ neoplasms",3,FALSE,NA,NA,NA
"Myocarditis","942",4,"Cardiomyopathy and myocarditis","Alcoholic cardiomyopathy | Other cardiomyopathy",2,FALSE,NA,NA,NA
"Near vision loss","1000",4,"Blindness and vision loss","Age-related macular degeneration | Cataract | Glaucoma | Other vision loss | Refraction disorders",5,FALSE,NA,NA,NA
"Neonatal encephalopathy due to birth asphyxia and trauma","382",4,"Neonatal disorders","Hemolytic disease and other neonatal jaundice | Neonatal preterm birth | Neonatal sepsis and other neonatal infections | Other neonatal disorders",4,FALSE,NA,NA,NA
"Neonatal preterm birth","381",4,"Neonatal disorders","Hemolytic disease and other neonatal jaundice | Neonatal encephalopathy due to birth asphyxia and trauma | Neonatal sepsis and other neonatal infections | Other neonatal disorders",4,FALSE,NA,NA,NA
"Neonatal sepsis and other neonatal infections","383",4,"Neonatal disorders","Hemolytic disease and other neonatal jaundice | Neonatal encephalopathy due to birth asphyxia and trauma | Neonatal preterm birth | Other neonatal disorders",4,FALSE,NA,NA,NA
"Neural tube defects","642",4,"Congenital birth defects","Congenital heart anomalies | Congenital musculoskeletal and limb anomalies | Digestive congenital anomalies | Down syndrome | Klinefelter syndrome | Orofacial clefts | Other chromosomal abnormalities | Other congenital birth defects | Turner syndrome | Urogenital congenital anomalies",10,FALSE,NA,NA,NA
"Non-melanoma skin cancer (basal-cell carcinoma)","850",4,"Non-melanoma skin cancer","Non-melanoma skin cancer (squamous-cell carcinoma)",1,FALSE,NA,NA,NA
"Non-melanoma skin cancer (squamous-cell carcinoma)","849",4,"Non-melanoma skin cancer","Non-melanoma skin cancer (basal-cell carcinoma)",1,FALSE,NA,NA,NA
"Non-rheumatic calcific aortic valve disease","968",4,"Non-rheumatic valvular heart disease","Non-rheumatic degenerative mitral valve disease | Other non-rheumatic valve diseases",2,FALSE,NA,NA,NA
"Non-rheumatic degenerative mitral valve disease","969",4,"Non-rheumatic valvular heart disease","Non-rheumatic calcific aortic valve disease | Other non-rheumatic valve diseases",2,FALSE,NA,NA,NA
"Nonalcoholic fatty liver disease including cirrhosis","971",4,"Cirrhosis","Chronic hepatitis B including cirrhosis | Chronic hepatitis C including cirrhosis | Cirrhosis due to alcohol | Cirrhosis due to other causes",4,FALSE,NA,NA,NA
"Opioid use disorders","562",4,"Drug use disorders","Amphetamine use disorders | Cannabis use disorders | Cocaine use disorders | Other drug use disorders",4,FALSE,NA,NA,NA
"Orofacial clefts","644",4,"Congenital birth defects","Congenital heart anomalies | Congenital musculoskeletal and limb anomalies | Digestive congenital anomalies | Down syndrome | Klinefelter syndrome | Neural tube defects | Other chromosomal abnormalities | Other congenital birth defects | Turner syndrome | Urogenital congenital anomalies",10,FALSE,NA,NA,NA
"Osteoarthritis hand","1016",4,"Osteoarthritis","Osteoarthritis hip | Osteoarthritis knee | Osteoarthritis other",3,FALSE,NA,NA,NA
"Osteoarthritis hip","1014",4,"Osteoarthritis","Osteoarthritis hand | Osteoarthritis knee | Osteoarthritis other",3,FALSE,NA,NA,NA
"Osteoarthritis knee","1015",4,"Osteoarthritis","Osteoarthritis hand | Osteoarthritis hip | Osteoarthritis other",3,FALSE,NA,NA,NA
"Osteoarthritis other","1017",4,"Osteoarthritis","Osteoarthritis hand | Osteoarthritis hip | Osteoarthritis knee",3,FALSE,NA,NA,NA
"Other benign and in situ neoplasms","1164",4,"Other neoplasms","Benign and in situ cervical and uterine neoplasms | Benign and in situ intestinal neoplasms | Myelodysplastic, myeloproliferative, and other hematopoietic neoplasms",3,TRUE,NA,NA,NA
"Other cardiomyopathy","944",4,"Cardiomyopathy and myocarditis","Alcoholic cardiomyopathy | Myocarditis",2,TRUE,NA,NA,NA
"Other chromosomal abnormalities","648",4,"Congenital birth defects","Congenital heart anomalies | Congenital musculoskeletal and limb anomalies | Digestive congenital anomalies | Down syndrome | Klinefelter syndrome | Neural tube defects | Orofacial clefts | Other congenital birth defects | Turner syndrome | Urogenital congenital anomalies",10,TRUE,NA,NA,NA
"Other congenital birth defects","652",4,"Congenital birth defects","Congenital heart anomalies | Congenital musculoskeletal and limb anomalies | Digestive congenital anomalies | Down syndrome | Klinefelter syndrome | Neural tube defects | Orofacial clefts | Other chromosomal abnormalities | Turner syndrome | Urogenital congenital anomalies",10,TRUE,NA,NA,NA
"Other direct maternal disorders","1160",4,"Maternal disorders","Ectopic pregnancy | Indirect maternal deaths | Late maternal deaths | Maternal abortion and miscarriage | Maternal deaths aggravated by HIV/AIDS | Maternal hemorrhage | Maternal hypertensive disorders | Maternal obstructed labor and uterine rupture | Maternal sepsis and other maternal infections",9,TRUE,NA,NA,NA
"Other drug use disorders","566",4,"Drug use disorders","Amphetamine use disorders | Cannabis use disorders | Cocaine use disorders | Opioid use disorders",4,TRUE,NA,NA,NA
